500  0.000255949
1000  0.00103227
1500  0.00245431
2000  0.00435544
2500  0.00719852
3000  0.0087482
3500  0.0118988
4000  0.0190713
4500  0.0183105
5000  0.0226385
5500  0.0296532
6000  0.0369313
6500  0.0413417
7000  0.0478005
7500  0.0516851
8000  0.0591566
8500  0.0672755
9000  0.0755351
9500  0.0809337
10000  0.0888691
10500  0.0992136
11000  0.114695
11500  0.120989
12000  0.131351
12500  0.144008
